Name,Country,Age,Height,Weight,Sex,Date of birth,Place of birth,Sport,Event,Medal_Winner,Gold,Silver,Bronze
Jen Hao Hsu,Taipei (Chinese Taipei),20,170,63,Male,10/26/1991,Taipei City,Badminton,Men's Singles,Not Won,,,
Jenaya Wade-Fray,Great Britain,23,175,65,Female,9/5/1988,,Basketball,Women's Basketball,Not Won,,,
Jeneba Tarmoh,United States of America,22,165,59,Female,9/27/1989,Los Angeles (USA),Athletics,Women's 4 x 100m Relay,Not Won,,,
Jenifer Benitez Benitez,Spain,23,160,48,Female,10/18/1988,LAS PALMAS (ESP),Diving,Women's 3m Springboard,Not Won,,,
Jenly Tegu Wini,Solomon Islands,29,,57,Female,6/9/1983,Honiara,Weightlifting,Women's 58kg,Not Won,,,
Jenna Hansen,New Zealand,25,178,72,Female,10/25/1986,Hamilton (NZL),Sailing,Women's Elliott 6m,Not Won,,,
Jenna Laukkanen,Finland,17,182,80,Female,3/2/1995,Kuhmo (FIN),Swimming,"Women's 100m Breaststroke, Women's 200m Breaststroke",Not Won,,,
Jenna Martin,Canada,24,173,65,Female,3/31/1988,Liverpool (CAN),Athletics,Women's 400m,Not Won,,,
Jenna O'Hea,Australia,25,186,76,Female,6/6/1987,,Basketball,Women's Basketball,Not Won,,,
Jennet Saryyeva,Turkmenistan,18,165,56,Female,3/30/1994,Ashgabat (TKM),Swimming,Women's 400m Freestyle,Not Won,,,
Jenni Mikkonen,Finland,32,174,67,Female,2/24/1980,,Canoe Sprint,Women's Kayak Single (K1) 200m,Not Won,,,
Jennie Johansson,Sweden,24,185,72,Female,6/15/1988,HEDEMORA (SWE),Swimming,Women's 100m Breaststroke,Not Won,,,
Jennie Reed,United States of America,34,170,79,Female,4/20/1978,Bellevue (USA),Cycling - Track,Women's Team Pursuit,Won,,0.33,
Jennifer Abel,Canada,20,160,62,Female,8/23/1991,Montreal (CAN),Diving,"Women's 3m Springboard, Women's Synchronised 3m Springboard",Won,,,0.5
Jennifer Anson,Palau,35,165,63,Female,3/5/1977,New York (USA),Judo,Women's -63kg,Not Won,,,
Jennifer Dahlgren,Argentina,28,180,110,Female,4/21/1984,Buenos Aires (ARG),Athletics,Women's Hammer Throw,Not Won,,,
Jennifer Digbeu,France,25,190,82,Female,4/14/1987,,Basketball,Women's Basketball,Not Won,,,
Jennifer Kessy,United States of America,35,180,71,Female,7/31/1977,,Beach Volleyball,Women's Beach Volleyball,Won,,0.5,
Jennifer Knobbs,Great Britain,23,155,,Female,5/19/1989,Toronto (CAN),Synchronised Swimming,Women's Teams,Not Won,,,
Jennifer Mcintosh,Great Britain,21,175,71,Female,6/17/1991,Edinburgh (GBR),Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions",Not Won,,,
Jennifer Nichols,United States of America,28,183,64,Female,10/4/1983,Kansas City,Archery,"Women's Individual, Women's Team",Not Won,,,
Jennifer Oeser,Germany,28,176,67,Female,11/29/1983,Brunsbuttel (GER),Athletics,Women's Heptathlon,Not Won,,,
Jennifer Padilla,Colombia,22,187,62,Female,1/1/1990,Quibdó (COL),Athletics,Women's 400m,Not Won,,,
Jennifer Pareja,Spain,28,174,63,Female,5/8/1984,,Water Polo,Women's Water Polo,Won,,0.076,
Jennifer Pinches,Great Britain,18,160,,Female,5/25/1994,TUNBRIDGE WELLS (GBR),Gymnastics - Artistic,"Women's Team, Women's Qualification",Not Won,,,
Jennifer Plass,Germany,27,164,55,Female,7/10/1985,Hannover (GER),Hockey,Women's Hockey,Not Won,,,
Jennifer Screen,Australia,30,180,67,Female,2/26/1982,,Basketball,Women's Basketball,Not Won,,,
Jennifer Simpson,United States of America,25,165,54,Female,8/23/1986,Webster City (USA),Athletics,Women's 1500m,Not Won,,,
Jennifer Suhr,United States of America,30,183,65,Female,2/5/1982,DUNKIRK (USA),Athletics,Women's Pole Vault,Won,1,,
Jennifer Wilson,South Africa,33,167,62,Female,3/27/1979,"Harare, Zimbabwe (RSA)",Hockey,Women's Hockey,Not Won,,,
Jenning Huizenga,Netherlands,28,185,70,Male,3/29/1984,Harlingen (NED),Cycling - Track,Men's Team Pursuit,Not Won,,,
Jenny Barazza,Italy,31,188,72,Female,7/24/1981,CONEGLIANO (ITA),Volleyball,Women's Volleyball,Not Won,,,
Jenny Bindon,New Zealand,39,179,63,Female,2/25/1973,,Football,Women's Football,Not Won,,,
Jenny Fransson,Sweden,25,169,72,Female,7/18/1987,NYED (SWE),Wrestling,Women's 72kg Freestyle,Not Won,,,
Jenny Mensing,Germany,26,183,70,Female,2/26/1986,Berlin (GER),Swimming,"Women's 100m Backstroke, Women's 200m Backstroke, Women's 4x100m Medley Relay",Not Won,,,
Jenny-Lyn Anderson,Australia,19,162,,Female,8/13/1992,Johannesburg (RSA),Synchronised Swimming,Women's Teams,Not Won,,,
Jens Fredricson,Sweden,44,180,78,Male,12/14/1967,Sofia (SWE),Equestrian,"Individual Jumping, Team Jumping, LUNATIC",Not Won,,,
Jens Lundqvist,Sweden,32,181,85,Male,8/29/1979,Staffan (SWE),Table Tennis,Men's Team,Not Won,,,
Jente Bouckaert,Belgium,22,190,75,Male,1/15/1990,MORTSEL (BEL),Athletics,Men's 4 x 400m Relay,Not Won,,,
Jeongsik Won,Republic of Korea,21,163,69,Male,12/9/1990,Gangwon,Weightlifting,Men's 69kg,Not Won,,,
Jere Bergius,Finland,25,184,76,Male,4/4/1987,Valkeakoski (FIN),Athletics,Men's Pole Vault,Not Won,,,
Jeremiah Brown,Canada,26,198,106,Male,11/25/1985,,Rowing,Men's Eight,Won,,0.111,
Jeremie Azou,France,23,178,73,Male,4/2/1989,,Rowing,Men's Lightweight Double Sculls,Not Won,,,
Jeremy Bascom,Guyana,28,170,73,Male,10/15/1983,LINDEN (GUY),Athletics,Men's 100m,Not Won,,,
Jeremy Beccu,France,21,165,,Male,9/22/1990,AUCHEL (FRA),Boxing,Men's Light Fly (49kg),Not Won,,,
Jeremy Monnier,France,23,175,64,Male,5/5/1989,Pontarlier (FRA),Shooting,Men's 10m Air Rifle,Not Won,,,
Jeremy Scott,United States of America,31,206,93,Male,5/1/1981,Norfolk (USA),Athletics,Men's Pole Vault,Not Won,,,
Jeremy Wariner,United States of America,28,185,71,Male,1/31/1984,Irving (USA),Athletics,Men's 4 x 400m Relay,Not Won,,,
Jermaine Gonzales,Jamaica,27,191,87,Male,11/26/1984,St Catherine (JAM),Athletics,"Men's 400m, Men's 4 x 400m Relay",Not Won,,,
Jermaine Seoposenwe,South Africa,18,154,50,Female,10/12/1993,,Football,Women's Football,Not Won,,,
Jeroen Mooren,Netherlands,27,168,60,Male,7/30/1985,NIJMEGEN (NED),Judo,Men's -60kg,Not Won,,,
Jerome Bortoluzzi,France,30,182,110,Male,5/20/1982,AMNEVILLE (FRA),Athletics,Men's Hammer Throw,Not Won,,,
Jerome Dekeyser,Belgium,28,183,81,Male,12/15/1983,,Hockey,Men's Hockey,Not Won,,,
Jerome Fernandez,France,35,199,106,Male,3/7/1977,,Handball,Men's Handball,Not Won,,,
Jerrel Feller,Netherlands,25,170,73,Male,6/9/1987,Heemskerk (NED),Athletics,Men's 4 x 100m Relay,Not Won,,,
Jerry Bengtson,Honduras,25,182,79,Male,4/8/1987,,Football,Men's Football,Not Won,,,
Jerry Obiang,Gabon,20,168,63,Male,6/10/1992,,Football,Men's Football,Not Won,,,
Jesper Faurschou,Denmark,29,183,63,Male,7/1/1983,Herning (DEN),Athletics,Men's Marathon,Not Won,,,
Jesper Hansen,Denmark,31,180,90,Male,11/19/1980,BJEGSTED (DEN),Shooting,Men's Skeet,Not Won,,,
Jesper Parker,Great Britain,28,200,100,Male,4/18/1984,,Handball,Men's Handball,Not Won,,,
Jess Ashwood,Australia,19,173,64,Female,4/28/1993,DARLINGHURST (AUS),Swimming,Women's 800m Freestyle,Not Won,,,
Jess Lloyd,Great Britain,17,178,80,Female,3/14/1995,OLDHAM (GBR),Swimming,Women's 4x100m Freestyle Relay,Not Won,,,
Jess Walker,Great Britain,22,177,72,Female,6/24/1990,,Canoe Sprint,"Women's Kayak Single (K1) 200m, Women's Kayak Four (K4) 500m",Not Won,,,
Jesse Kirkland,Bermuda,24,,,Male,1/22/1988,Paget (BER),Sailing,Men's 49er,Not Won,,,
Jesse Phillips,Australia,26,189,82,Male,7/26/1986,,Canoe Sprint,Men's Kayak Double (K2) 200m,Not Won,,,
Jesse Ross,Australia,22,188,,Male,2/9/1990,SOUTH BRISBANE (AUS),Boxing,Men's Middle (75kg),Not Won,,,
Jesse Ruiz Flores,Mexico,27,180,112,Male,7/31/1985,Orange (USA),Wrestling,Men's 120kg Freestyle,Not Won,,,
Jesse Sergent,New Zealand,24,189,77,Male,7/8/1988,FIELDING (NZL),Cycling - Track,Men's Team Pursuit,Not Won,,,
Jesse Smith,United States of America,29,193,104,Male,4/27/1983,KILUA (USA),Water Polo,Men's Water Polo,Not Won,,,
Jesse Williams,United States of America,28,183,80,Male,12/27/1983,Modesto (USA),Athletics,Men's High Jump,Not Won,,,
Jessica Alonso Bernardo,Spain,28,172,65,Female,9/20/1983,,Handball,Women's Handball,Not Won,,,
Jessica Augusto,Portugal,30,164,44,Female,11/8/1981,Paris (FRA),Athletics,Women's Marathon,Not Won,,,
Jessica Clarke,Great Britain,23,163,55,Female,5/5/1989,,Football,Women's Football,Not Won,,,
Jessica Cosby,United States of America,30,173,79,Female,5/31/1982,Panorama City (USA),Athletics,Women's Hammer Throw,Not Won,,,
Jessica Crisp,Australia,42,167,55,Female,9/19/1969,Sydney (AUS),Sailing,Women's RS-X,Not Won,,,
Jessica Draskau-Petersson,Denmark,34,170,63,Female,9/8/1977,Gentofte (DEN),Athletics,Women's Marathon,Not Won,,,
Jessica Eddie,Great Britain,27,178,75,Female,10/7/1984,,Rowing,Women's Eight,Not Won,,,
Jessica Ennis,Great Britain,26,165,57,Female,1/28/1986,Sheffield (GBR),Athletics,"Women's 100m Hurdles, Women's Heptathlon",Won,1,,
Jessica Fox,Australia,18,166,60,Female,6/11/1994,Marseille (FRA),Canoe Slalom,Women's Kayak (K1),Won,,1,
Jessica Gil Ortiz,Colombia,21,161,,Female,12/7/1990,Miami (USA),Gymnastics - Artistic,Women's Qualification,Not Won,,,
Jessica Hardy,United States of America,25,183,69,Female,3/12/1987,Orange (USA),Swimming,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay",Won,,,0.25
Jessica Harrison,France,34,170,60,Female,10/27/1977,Sheffield (GBR),Triathlon,Women's Triathlon,Not Won,,,
Jessica Landstrom,Sweden,27,180,74,Female,12/12/1984,,Football,Women's Football,Not Won,,,
Jessica Lopez,Venezuela,26,155,,Female,1/22/1986,Caracas (VEN),Gymnastics - Artistic,"Women's Individual All-Around, Women's Qualification",Not Won,,,
Jessica Mager,Germany,24,169,57,Female,6/1/1988,SOLINGEN (GER),Shooting,Women's 10m Air Rifle,Not Won,,,
Jessica Michel,France,30,177,59,Female,6/22/1982,PARIS 14EME (FRA),Equestrian,"Individual Dressage, RIWERA",Not Won,,,
Jessica Phoenix,Canada,28,157,57,Female,10/16/1983,UXBRIDGE (CAN),Equestrian,"Individual Eventing, Team Eventing, EXPONENTIAL",Not Won,,,
Jessica Quintino,Brazil,21,176,65,Female,4/16/1991,,Handball,Women's Handball,Not Won,,,
Jessica Rossi,Italy,20,168,57,Female,1/7/1992,CENTO (ITA),Shooting,Women's Trap,Won,1,,
Jessica Roux,South Africa,19,168,62,Female,11/10/1992,PORT ELIZBETH (RSA),Swimming,Women's 10km Marathon,Not Won,,,
Jessica Samuelsson,Sweden,27,176,67,Female,3/14/1985,BOO (SWE),Athletics,Women's Heptathlon,Not Won,,,
Jessica Smith,Canada,22,174,52,Female,10/11/1989,North Vancouver (CAN),Athletics,Women's 800m,Not Won,,,
Jessica Steffens,United States of America,25,183,75,Female,4/7/1987,San Francisco (USA),Water Polo,Women's Water Polo,Not Won,,,
Jessica Teixeira Vieira,Mozambique,20,166,60,Female,11/13/1991,Maputo (MOZ),Swimming,Women's 50m Freestyle,Not Won,,,
Jessica Trengove,Australia,24,165,50,Female,8/15/1987,NORTH ADELAIDE (AUS),Athletics,Women's Marathon,Not Won,,,
Jessica Varnish,Great Britain,21,167,69,Female,11/19/1990,Birmingham (GBR),Cycling - Track,Women's Team Sprint,Not Won,,,
Jessica Zelinka,Canada,30,176,63,Female,9/3/1981,London (CAN),Athletics,"Women's 100m Hurdles, Women's Heptathlon",Not Won,,,
Jessicah Schipper,Australia,25,170,70,Female,11/19/1986,Brisbane (AUS),Swimming,"Women's 100m Butterfly, Women's 200m Butterfly",Not Won,,,
Jessie Barr,Ireland,23,175,58,Female,7/24/1989,Waterford (IRL),Athletics,Women's 4 x 400m Relay,Not Won,,,
Jessie Lacuna,Philippines,18,170,65,Male,12/23/1993,PULILAN  BULACAN (PHI),Swimming,Men's 200m Freestyle,Not Won,,,
Jesus Angel Garcia,Spain,42,172,64,Male,10/17/1969,Madrid (ESP),Athletics,Men's 50km Race Walk,Not Won,,,
Jesus Espana,Spain,33,173,54,Male,8/21/1978,Madrid (ESP),Athletics,Men's 5000m,Not Won,,,
Jesus Serrano,Spain,34,180,81,Male,7/3/1978,TOMELLOSO (ESP),Shooting,Men's Trap,Not Won,,,
Jesus Villafane  Marquina,Venezuela,25,187,83,Male,11/19/1986,,Beach Volleyball,Men's Beach Volleyball,Not Won,,,
Jevgenij Shuklin,Lithuania,26,196,109,Male,11/23/1985,,Canoe Sprint,Men's Canoe Single (C1) 200m,Not Won,,,
Jevgenijs Borodavko,Latvia,25,189,100,Male,11/4/1986,Riga (LAT),Judo,Men's -100kg,Not Won,,,
Jeysson Monroy Varela,Colombia,27,185,,Male,3/14/1985,MEDELLIN (COL),Boxing,Men's Light Heavy (81kg),Not Won,,,
Jeyvier Cintron Ocasio,Puerto Rico,17,,,Male,2/8/1995,PUERTO RICO (PUR),Boxing,Men's Fly (52kg),Not Won,,,
Ji Hyun Sung,Republic of Korea,21,175,56,Female,7/29/1991,Seoul,Badminton,Women's Singles,Not Won,,,
Jia Liu,Austria,30,160,47,Female,2/16/1982,PEKING,Table Tennis,"Women's Singles, Women's Team",Not Won,,,
Jiaduo Wu,Germany,34,166,57,Female,9/19/1977,LINHAI,Table Tennis,"Women's Singles, Women's Team",Not Won,,,
Jiahong Liang,People's Republic of China,24,184,84,Male,3/6/1988,Guangdong (CHN),Athletics,Men's 4 x 100m Relay,Not Won,,,
Jiali Wang,People's Republic of China,26,160,50,Female,2/1/1986,Hebei (CHN),Athletics,Women's Marathon,Not Won,,,
Jian Fang Lay,Australia,39,163,58,Female,3/6/1973,WENGZHOU,Table Tennis,"Women's Singles, Women's Team",Not Won,,,
Jian Shi,People's Republic of China,24,183,80,Male,1/11/1988,Jiangsu (CHN),Sailing,Men's Laser,Not Won,,,
Jian Tan,People's Republic of China,24,178,80,Female,1/20/1988,SICHUAN (CHN),Athletics,Women's Discus Throw,Not Won,,,
Jian Zhan,Singapore,30,174,79,Male,1/30/1982,Hubei,Table Tennis,Men's Team,Not Won,,,
Jian Zhang,People's Republic of China,27,182,80,Male,7/30/1985,Heilongjiang (CHN),Shooting,Men's 25m Rapid Fire Pistol,Not Won,,,
Jianbin He,People's Republic of China,19,188,79,Male,2/18/1993,Guangdong (CHN),Swimming,"Men's 100m Backstroke, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay",Not Won,,,
Jianbo Li,People's Republic of China,25,174,60,Male,11/14/1986,Yunnan (CHN),Athletics,Men's 50km Race Walk,Not Won,,,
Jianfei Ma,People's Republic of China,28,185,77,Male,7/29/1984,,Fencing,"Men's Individual Foil, Men's Team Foil",Not Won,,,
Jianghua Chen,People's Republic of China,23,188,80,Male,3/12/1989,,Basketball,Men's Basketball,Not Won,,,
Jianlian Yi,People's Republic of China,24,212,113,Male,10/27/1987,,Basketball,Men's Basketball,Not Won,,,
Jiao Li,Netherlands,39,167,57,Female,1/15/1973,QINGDAO CITY,Table Tennis,"Women's Singles, Women's Team",Not Won,,,
Jiao Wang,People's Republic of China,24,177,73,Female,1/4/1988,Liaoning (CHN),Wrestling,Women's 72kg Freestyle,Not Won,,,
Jiaojiao de,People's Republic of China,22,168,57,Female,1/5/1990,Nei Monggol (CHN),Hockey,Women's Hockey,Not Won,,,
Jiawei Li,Singapore,30,172,60,Female,8/9/1981,Beijing,Table Tennis,Women's Team,Won,,,0.5
Jiaxing Li,People's Republic of China,22,175,65,Female,3/19/1990,Hubei (CHN),Swimming,Women's 200m Individual Medley,Not Won,,,
Jiaying Pang,People's Republic of China,27,177,66,Female,1/6/1985,Shanghai (CHN),Swimming,"Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay",Not Won,,,
Jiayu Xu,People's Republic of China,16,184,72,Male,8/19/1995,Zhejiang (CHN),Swimming,Men's 200m Backstroke,Not Won,,,
Jidou El Moctar,Mauritania,27,170,65,Male,7/8/1985,NOUAKCHOTT (MTN),Athletics,Men's 200m,Not Won,,,
Jie Li,Netherlands,28,166,51,Female,3/6/1984,SICHUAN,Table Tennis,"Women's Singles, Women's Team",Not Won,,,
Jie Sun,People's Republic of China,24,182,69,Male,6/13/1988,,Rowing,Men's Lightweight Double Sculls,Not Won,,,
Jie Yao,Netherlands,35,176,65,Female,4/10/1977,HUBEL,Badminton,Women's Singles,Not Won,,,
Jie Zhang,People's Republic of China,24,165,62,Male,8/26/1987,FUJIAN,Weightlifting,Men's 62kg,Not Won,,,
Jieun Um,Republic of Korea,25,161,55,Female,5/18/1987,Incheon (KOR),Wrestling,Women's 55kg Freestyle,Not Won,,,
Jihae Jung,Republic of Korea,27,168,58,Female,3/6/1985,,Handball,Women's Handball,Not Won,,,
Jihane Samlal,Morocco,28,167,62,Female,11/25/1983,DOLE (FRA),Canoe Slalom,Women's Kayak (K1),Not Won,,,
Jiho Park,Republic of Korea,20,165,59,Male,9/11/1991,BUSAN (KOR),Diving,Men's 10m Platform,Not Won,,,
Jihoon Kim,Republic of Korea,27,173,,Male,8/9/1984,Seoul (KOR),Gymnastics - Artistic,"Men's Team, Men's Qualification",Not Won,,,
Jihye Lim,Republic of Korea,26,163,75,Female,10/28/1985,Gangwon,Weightlifting,Women's 75kg,Not Won,,,
Jihyun Jung,Republic of Korea,29,165,60,Male,3/26/1983,GYUNGGI (KOR),Wrestling,Men's 60kg Greco-Roman,Not Won,,,
Jike Zhang,People's Republic of China,24,178,70,Male,2/16/1988,Shandong,Table Tennis,"Men's Singles, Men's Team",Won,1.5,,
Jill Boon,Belgium,25,172,65,Female,3/13/1987,Uccle (BEL),Hockey,Women's Hockey,Not Won,,,
Jill Henselwood,Canada,49,168,56,Female,11/1/1962,Ottawa (CAN),Equestrian,"Individual Jumping, Team Jumping, GEORGE",Not Won,,,
Jill Loyden,United States of America,27,178,77,Female,6/25/1985,,Football,Women's Football,Not Won,,,
Jill Scott,Great Britain,25,181,64,Female,2/2/1987,,Football,Women's Football,Not Won,,,
Jillian Camarena-Williams,United States of America,30,178,113,Female,3/2/1982,Vallejo (USA),Athletics,Women's Shot Put,Not Won,,,
Jillian Schwartz,Israel,32,173,63,Female,9/19/1979,ILINOS (USA),Athletics,Women's Pole Vault,Not Won,,,
Jillian Terceira,Bermuda,41,163,58,Female,7/23/1971,Paget (BER),Equestrian,"Individual Jumping, BERNADIEN VAN WESTUUR",Not Won,,,
Jillian Tyler,Canada,23,152,65,Female,9/5/1988,DIDSBURY (CAN),Swimming,Women's 100m Breaststroke,Not Won,,,
Jimmy Lidberg,Sweden,30,191,96,Male,4/13/1982,Farsta (SWE),Wrestling,Men's 96kg Greco-Roman,Not Won,,,
Jimmy Verbaeys,Belgium,18,168,,Male,8/26/1993,Uccle (BEL),Gymnastics - Artistic,"Men's Individual All-Around, Men's Qualification",Not Won,,,
Jimmy Vicaut,France,20,184,76,Male,2/27/1992,Paris (FRA),Athletics,"Men's 100m, Men's 4 x 100m Relay",Not Won,,,
Jimmy Watkins,United States of America,29,185,96,Male,8/26/1982,Bakersfield (USA),Cycling - Track,Men's Sprint,Not Won,,,
Jin Chen,People's Republic of China,26,181,67,Male,1/10/1986,Hebei,Badminton,Men's Singles,Not Won,,,
Jin He,People's Republic of China,25,178,100,Female,5/3/1987,Tianjin (CHN),Water Polo,Women's Water Polo,Not Won,,,
Jin Hyek Oh,Republic of Korea,30,182,100,Male,8/15/1981,Chungnam,Archery,"Men's Individual, Men's Team",Won,1,,0.33
Jin Ma,People's Republic of China,24,165,61,Female,5/7/1988,Jiangsu,Badminton,Mixed Doubles,Won,,0.5,
Jin Ok Kim,Democratic People's Republic  of Korea,21,160,52,Female,9/15/1990,Pyongyang (PRK),Diving,Women's 10m Platform,Not Won,,,
Jincheol Kim,Republic of Korea,22,165,55,Male,8/7/1989,Gangwon (KOR),Wrestling,Men's 55kg Freestyle,Not Won,,,
Jing Liang,People's Republic of China,27,172,60,Female,1/4/1985,Shandong (CHN),Cycling - Track,Women's Team Pursuit,Not Won,,,
Jing Liu,People's Republic of China,22,172,63,Female,3/8/1990,Beijing (CHN),Swimming,Women's 4x200m Freestyle Relay,Not Won,,,
Jing Xu,People's Republic of China,21,169,70,Female,9/6/1990,Shandong,Archery,"Women's Individual, Women's Team",Won,,0.33,
Jing Yi Tee,Malaysia,21,166,50,Female,2/8/1991,PULAU PINANG,Badminton,Women's Singles,Not Won,,,
Jing Yuan,People's Republic of China,25,165,65,Female,3/27/1987,Jiangsu (CHN),Shooting,Women's 25m Pistol,Not Won,,,
Jingbiao Wu,People's Republic of China,23,163,56,Male,1/10/1989,FUJIAN,Weightlifting,Men's 56kg,Won,,1,
Jingjing Li,People's Republic of China,27,170,55,Female,2/1/1985,FUJIAN (CHN),Canoe Slalom,Women's Kayak (K1),Not Won,,,
Jingyu Wu,People's Republic of China,25,168,,Female,2/1/1987,JIANGXI (CHN),Taekwondo,Women's -49kg,Won,1,,
Jingzhi Wang,People's Republic of China,29,197,98,Male,8/28/1982,,Fencing,"Men's Individual Sabre, Men's Team Sabre",Not Won,,,
Jinhui Ding,People's Republic of China,22,204,100,Male,10/27/1989,,Basketball,Men's Basketball,Not Won,,,
Jinhwa Jung,Republic of Korea,23,182,74,Male,5/25/1989,ULSAN (KOR),Modern Pentathlon,Men's Modern Pentathlon,Not Won,,,
Jinhyeok Jeong,Republic of Korea,22,170,58,Male,6/1/1990,Chungnam (KOR),Athletics,Men's Marathon,Not Won,,,
Jinhyeok Kim,Republic of Korea,23,176,74,Male,5/15/1989,GYUNGBUK (KOR),Wrestling,Men's 74kg Greco-Roman,Not Won,,,
Jinjie Gong,People's Republic of China,25,165,65,Female,11/12/1986,Jilin (CHN),Cycling - Track,Women's Team Sprint,Won,,0.5,
Jinling Chu,People's Republic of China,28,186,75,Female,7/29/1984,Liaoning (CHN),Volleyball,Women's Volleyball,Not Won,,,
Jinnan Yao,People's Republic of China,17,145,,Female,2/8/1995,FUJIAN (CHN),Gymnastics - Artistic,"Women's Team, Women's Qualification",Not Won,,,
Jinseop Han,Republic of Korea,30,172,70,Male,9/7/1981,Seoul (KOR),Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions",Not Won,,,
Jinsun Jung,Republic of Korea,28,185,81,Male,1/24/1984,,Fencing,Men's Individual Epee,Won,,,1
Jinyan Chen,People's Republic of China,24,166,65,Female,1/22/1988,,Fencing,Women's Individual Foil,Not Won,,,
Jinzhe Li,People's Republic of China,22,192,78,Male,9/1/1989,Beijing (CHN),Athletics,Men's Long Jump,Not Won,,,
Jinzi Li,People's Republic of China,22,176,,Female,3/4/1990,Heilongjiang (CHN),Boxing,Women's Middle (75kg),Won,,,1
Jiri Kopac,Czech Republic,30,175,72,Male,2/23/1982,,Rowing,Men's Lightweight Four,Not Won,,,
Jiri Liptak,Czech Republic,30,192,115,Male,3/30/1982,Brno  (CZE),Shooting,Men's Trap,Not Won,,,
Jiri Orsag,Czech Republic,23,181,128,Male,1/5/1989,ZNOJMO,Weightlifting,Men's +105kg,Not Won,,,
Jirina Ptacnikova,Czech Republic,26,174,69,Female,5/20/1986,Plzen (CZE),Athletics,Women's Pole Vault,Not Won,,,
Jitka Antosova,Czech Republic,25,175,73,Female,3/13/1987,,Rowing,Women's Double Sculls,Not Won,,,
Jitka Bartonickova,Czech Republic,26,175,56,Female,12/22/1985,BENESOV (CZE),Athletics,Women's 4 x 400m Relay,Not Won,,,
Jiyeon Kim,Republic of Korea,24,165,57,Female,3/12/1988,,Fencing,Women's Individual Sabre,Won,1,,
Jo Aleh,New Zealand,26,171,60,Female,5/15/1986,Auckland (NZL),Sailing,Women's 470,Not Won,,,
Jo Brigden-Jones,Australia,24,182,76,Female,4/19/1988,,Canoe Sprint,Women's Kayak Four (K4) 500m,Not Won,,,
Jo-Annie Fortin,Canada,21,174,,Female,10/25/1990,Montreal (CAN),Synchronised Swimming,Women's Teams,Not Won,,,
Jo-Ting Hsu,Taipei (Chinese Taipei),22,174,60,Female,3/18/1990,,Fencing,Women's Individual Epee,Not Won,,,
Jo-Wilfried Tsonga,France,27,188,91,Male,4/17/1985,,Tennis,"Men's Singles, Men's Doubles",Won,,0.5,
Joachim Bottieau,Belgium,23,180,81,Male,3/20/1989,BOUSSU (BEL),Judo,Men's -81kg,Not Won,,,
Joachim Fischer,Denmark,33,188,78,Male,11/23/1978,Kobenhavn,Badminton,Mixed Doubles,Won,,,0.5
Joan Canellas Reixach,Spain,25,198,100,Male,9/30/1986,,Handball,Men's Handball,Not Won,,,
Joana Castelao,Portugal,27,162,56,Female,12/26/1984,CARCAVELOS (POR),Shooting,"Women's 10m Air Pistol, Women's 25m Pistol",Not Won,,,
Joana Vasconcelos,Portugal,21,169,65,Female,2/22/1991,,Canoe Sprint,"Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m",Not Won,,,
Joanna Fiodorow,Poland,23,169,90,Female,3/4/1989,AUGUSTOW (POL),Athletics,Women's Hammer Throw,Not Won,,,
Joanna Leszczynska,Poland,23,183,76,Female,12/18/1988,,Rowing,Women's Quadruple Sculls,Not Won,,,
Joanna Lochowska,Poland,23,190,53,Female,11/17/1988,ZIELONA GORA,Weightlifting,Women's 53kg,Not Won,,,
Joanna Melo,Brazil,25,173,58,Female,4/29/1987,Recife (BRA),Swimming,"Women's 200m Butterfly, Women's 200m Individual Medley, Women's 400m Individual Medley",Not Won,,,
Joanna Mitrosz,Poland,23,181,,Female,8/21/1988,Gdynia (POL),Gymnastics - Rhythmic,Individual All-Around,Not Won,,,
Joanna Parker,Great Britain,25,178,63,Female,6/10/1987,Chertsey (GBR),Table Tennis,"Women's Singles, Women's Team",Not Won,,,
Joanna Rowsell,Great Britain,23,180,64,Female,12/5/1988,Carshalton (GBR),Cycling - Track,Women's Team Pursuit,Won,0.33,,
Joanna van de Winkel,South Africa,30,167,45,Female,4/22/1982,PIETERMARITZBURG (RSA),Cycling - Road,Women's Road Race,Not Won,,,
Joanne Cuddihy,Ireland,28,184,65,Female,5/11/1984,Dublin (IRL),Athletics,"Women's 400m, Women's 4 x 400m Relay",Not Won,,,
Joanne Jackson,Great Britain,25,185,76,Female,9/12/1986,NORTHALLERTON (GBR),Swimming,"Women's 400m Freestyle, Women's 4x200m Freestyle Relay",Not Won,,,
Joanne Kiesanowski,New Zealand,33,169,60,Female,5/24/1979,BURWOOD (NZL),Cycling - Track,Women's Omnium,Not Won,,,
Joanne Mayer,France,19,167,57,Female,3/16/1993,,Canoe Sprint,Women's Kayak Four (K4) 500m,Not Won,,,
Joanne Morgan,Great Britain,28,170,60,Female,10/7/1983,Edinburgh (GBR),Volleyball,Women's Volleyball,Not Won,,,
